country,year,sex,age,suicides_no,population,suicides_100k_pop
Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0
Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0
Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0
Antigua and Barbuda,1986,female,5-14 years,0,6907,0.0
Antigua and Barbuda,1986,female,55-74 years,0,3764,0.0
Antigua and Barbuda,1986,female,75+ years,0,1014,0.0
Antigua and Barbuda,1986,male,15-24 years,0,7563,0.0
Antigua and Barbuda,1986,male,25-34 years,0,6023,0.0
Antigua and Barbuda,1986,male,35-54 years,0,5947,0.0
Antigua and Barbuda,1986,male,5-14 years,0,6827,0.0
Antigua and Barbuda,1986,male,55-74 years,0,2771,0.0
Antigua and Barbuda,1986,male,75+ years,0,476,0.0
Antigua and Barbuda,1987,female,15-24 years,0,7583,0.0
Antigua and Barbuda,1987,female,25-34 years,0,6101,0.0
Antigua and Barbuda,1987,female,35-54 years,0,6059,0.0
Antigua and Barbuda,1987,female,5-14 years,0,6623,0.0
Antigua and Barbuda,1987,female,55-74 years,0,3738,0.0
Antigua and Barbuda,1987,female,75+ years,0,1081,0.0
Antigua and Barbuda,1987,male,15-24 years,0,7421,0.0
Antigua and Barbuda,1987,male,25-34 years,0,5893,0.0
Antigua and Barbuda,1987,male,35-54 years,0,5927,0.0
Antigua and Barbuda,1987,male,5-14 years,0,6499,0.0
Antigua and Barbuda,1987,male,55-74 years,0,2798,0.0
Antigua and Barbuda,1987,male,75+ years,0,538,0.0
Antigua and Barbuda,1988,female,15-24 years,0,7413,0.0
Antigua and Barbuda,1988,female,25-34 years,0,6041,0.0
Antigua and Barbuda,1988,female,35-54 years,0,6021,0.0
Antigua and Barbuda,1988,female,5-14 years,0,6527,0.0
Antigua and Barbuda,1988,female,55-74 years,0,3708,0.0
Antigua and Barbuda,1988,female,75+ years,0,1141,0.0
Antigua and Barbuda,1988,male,15-24 years,0,7209,0.0
Antigua and Barbuda,1988,male,25-34 years,0,5826,0.0
Antigua and Barbuda,1988,male,35-54 years,0,5907,0.0
Antigua and Barbuda,1988,male,5-14 years,0,6355,0.0
Antigua and Barbuda,1988,male,55-74 years,0,2813,0.0
Antigua and Barbuda,1988,male,75+ years,0,603,0.0
Antigua and Barbuda,1989,female,15-24 years,0,7152,0.0
Antigua and Barbuda,1989,female,25-34 years,0,6059,0.0
Antigua and Barbuda,1989,female,35-54 years,0,5969,0.0
Antigua and Barbuda,1989,female,5-14 years,0,6621,0.0
Antigua and Barbuda,1989,female,55-74 years,0,3696,0.0
Antigua and Barbuda,1989,female,75+ years,0,1195,0.0
Antigua and Barbuda,1989,male,15-24 years,0,6927,0.0
Antigua and Barbuda,1989,male,25-34 years,0,5835,0.0
Antigua and Barbuda,1989,male,35-54 years,0,5862,0.0
Antigua and Barbuda,1989,male,5-14 years,0,6403,0.0
Antigua and Barbuda,1989,male,55-74 years,0,2843,0.0
Antigua and Barbuda,1989,male,75+ years,0,676,0.0
Antigua and Barbuda,1990,female,15-24 years,0,6827,0.0
Antigua and Barbuda,1990,female,25-34 years,0,6172,0.0
Antigua and Barbuda,1990,female,35-54 years,0,5895,0.0
Antigua and Barbuda,1990,female,5-14 years,0,6877,0.0
Antigua and Barbuda,1990,female,55-74 years,0,3706,0.0
Antigua and Barbuda,1990,female,75+ years,0,1252,0.0
Antigua and Barbuda,1990,male,15-24 years,0,6598,0.0
Antigua and Barbuda,1990,male,25-34 years,0,5937,0.0
Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24435247456458
Antigua and Barbuda,1990,male,5-14 years,0,6611,0.0
Antigua and Barbuda,1990,male,55-74 years,0,2902,0.0
Antigua and Barbuda,1990,male,75+ years,0,758,0.0
Antigua and Barbuda,1991,female,15-24 years,0,6595,0.0
Antigua and Barbuda,1991,female,25-34 years,0,6396,0.0
Antigua and Barbuda,1991,female,35-54 years,0,6198,0.0
Antigua and Barbuda,1991,female,5-14 years,0,7089,0.0
Antigua and Barbuda,1991,female,55-74 years,0,3665,0.0
Antigua and Barbuda,1991,female,75+ years,0,1293,0.0
Antigua and Barbuda,1991,male,15-24 years,0,6401,0.0
Antigua and Barbuda,1991,male,25-34 years,0,6156,0.0
Antigua and Barbuda,1991,male,35-54 years,0,6122,0.0
Antigua and Barbuda,1991,male,5-14 years,0,6818,0.0
Antigua and Barbuda,1991,male,55-74 years,0,2857,0.0
Antigua and Barbuda,1991,male,75+ years,0,804,0.0
Antigua and Barbuda,1992,female,15-24 years,0,6369,0.0
Antigua and Barbuda,1992,female,25-34 years,0,6650,0.0
Antigua and Barbuda,1992,female,35-54 years,0,6534,0.0
Antigua and Barbuda,1992,female,5-14 years,0,7311,0.0
